Data_Hora,IdTweet,Tweet,Candidato,Tweet_limpo
2022-08-01 12:14:56+00:00,1554078224921010176,"@SolonRuda @SF_Moro Destrui o Brasil ainda tem aloprado que manda parabéns. deve ter gostado das mentiras dele e da falta de caráter. Como Bolsonaro está perdediod, pede num Lula nem Bolsonaro. O que Lula lhe fez, Mande dixer porque não sei.",Lula,"  destrui o brasil ainda tem aloprado que manda parabéns. deve ter gostado das mentiras dele e da falta de caráter. como bolsonaro está perdediod, pede num lula nem bolsonaro. o que lula lhe fez, mande dixer porque não sei."
2022-08-01 12:14:56+00:00,1554078224866770946,"Sensacionalista entrevista Lula: 'Sempre converso com Deus. Ele me pede conselhos'
https://t.co/7UgdSVblkC",Lula,sensacionalista entrevista lula: 'sempre converso com deus. ele me pede conselhos'
2022-08-01 12:14:56+00:00,1554078222278688768,"@alfredolimaaaa @LulaOficial @ptbrasil Medicina no Brasil acabou. Tragam os médicos cubanos, eles pelo menos, apoiam o Bolsonaro.",Lula,"   medicina no brasil acabou. tragam os médicos cubanos, eles pelo menos, apoiam o bolsonaro."
2022-08-01 12:14:56+00:00,1554078221964034050,@LulaOficial Bandido.,Lula, bandido.
2022-08-01 12:14:55+00:00,1554078220710019075,"@LulaOficial PRESÍDIO. Esse é o lugar onde vc deveria estar até o dia da sua morte. O maior bandido da história do país, concorrendo a uma eleição. Isso a gente por aqui! Vai pra ruas, vc não tá com 852% de intensão de votos nas pesquisas? #LulaPreso #BolsonaroReeleitoEm2022",Lula," presídio. esse é o lugar onde vc deveria estar até o dia da sua morte. o maior bandido da história do país, concorrendo a uma eleição. isso a gente por aqui! vai pra ruas, vc não tá com 852% de intensão de votos nas pesquisas?  "
2022-08-01 12:14:54+00:00,1554078214741434368,@LulaOficial Vc quer é roubar,Lula, vc quer é roubar
2022-08-01 12:14:54+00:00,1554078213172781056,"Bom dia, geral . 
Hoje é dia de compartilhar, curtir e respostas tudoooo do @LulaOficial e também das pré candidaturas: tem muita gente legal pra seguir e acompanhar nas redes e dar uma moral na pré campanha. Bora!",Lula,"bom dia, geral . hoje é dia de compartilhar, curtir e respostas tudoooo do  e também das pré candidaturas: tem muita gente legal pra seguir e acompanhar nas redes e dar uma moral na pré campanha. bora!"
2022-08-01 12:14:53+00:00,1554078211612594177,@GMarionetista @LulaOficial Tá assim por que vc roubo.,Lula,  tá assim por que vc roubo.
2022-08-01 12:14:52+00:00,1554078207699214336,@RTaokey @LulaOficial Vc sabe q não ! https://t.co/dNXl5ZenTO,Lula,  vc sabe q não ! 
2022-08-01 12:14:51+00:00,1554078202661937156,Fora Lula ladrão https://t.co/vaumGoYPtC,Lula,fora lula ladrão 
2022-08-01 12:14:51+00:00,1554078202187943936,"@CarolDeToni Bom, ainda bem que não sou cristão, pois votarei no Lula em 2022. Retórica perigosa essa - a de relacionar a imagem de Bolsonaro à imagem de Cristo.",Lula," bom, ainda bem que não sou cristão, pois votarei no lula em 2022. retórica perigosa essa - a de relacionar a imagem de bolsonaro à imagem de cristo."
2022-08-01 12:14:48+00:00,1554078189781139459,"@LulaOficial kkk .. Com essa pontuação certinha, duvida que seja o analfabeto escrevendo.. kkkk.. faz-me rir!!",Lula," kkk .. com essa pontuação certinha, duvida que seja o analfabeto escrevendo.. kkkk.. faz-me rir!!"
2022-08-01 12:14:47+00:00,1554078187734319106,@RonaldoMauro @LulaOficial Já pesquisou o que é  socialismo?,Lula,  já pesquisou o que é  socialismo?
2022-08-01 12:14:47+00:00,1554078186262208518,"@FLina53804079 Tem cura sim….depois de um ano do governo @LulaOficial você vai voltar a amar o Brasil com tudo.
Tenha fé",Lula, tem cura sim….depois de um ano do governo  você vai voltar a amar o brasil com tudo.tenha fé
2022-08-01 12:14:43+00:00,1554078170000883713,@LulaOficial @dilmabr É um grande mentiroso,Lula,  é um grande mentiroso
2022-08-01 12:14:43+00:00,1554078168365125632,"@LulaOficial Falou o ladrão que roubou dinheiro dos impostos. Eu quero que você termine de APODRECER na cadeia. VERME, SER ABJETO, ASQUEROSO, DESPREZÍVEIL!",Lula," falou o ladrão que roubou dinheiro dos impostos. eu quero que você termine de apodrecer na cadeia. verme, ser abjeto, asqueroso, desprezíveil!"
2022-08-01 12:14:41+00:00,1554078159917686785,"@LulaOficial O Brasil vc do roubou, acabou com a educação, mas seu triplex é seu sítio vc investiu, sus filhos estão milionários vc é um cachaceiro e comunista FDP",Lula," o brasil vc do roubou, acabou com a educação, mas seu triplex é seu sítio vc investiu, sus filhos estão milionários vc é um cachaceiro e comunista fdp"
2022-08-01 12:14:39+00:00,1554078153932414976,@cynaramenezes 😂😂😂😂😂😂 será que se abrir bem não tem até quatro lula?,Lula, 😂😂😂😂😂😂 será que se abrir bem não tem até quatro lula?
2022-08-01 12:14:38+00:00,1554078149155201028,@LulaOficial Vai roubar o leite das crianças também...esse é seu DNA....corrupto.,Lula, vai roubar o leite das crianças também...esse é seu dna....corrupto.
2022-08-01 12:14:38+00:00,1554078147049656321,@jeanwyllys_real Positivo todos juntos pelo povo brasileiro Lula presinte!,Lula, positivo todos juntos pelo povo brasileiro lula presinte!
2022-08-01 12:14:37+00:00,1554078141664047105,"@LulaOficial Para de querer implantar mentiras na cabeça dos leigos @LulaOficial você quebrou o país, deixou o povo na miséria, roubou bilhões, não fez nada pela educação, vejo professores que não sabem pronunciar as palavras direito por causa desse ensino devassado, chega de mentiras!",Lula," para de querer implantar mentiras na cabeça dos leigos  você quebrou o país, deixou o povo na miséria, roubou bilhões, não fez nada pela educação, vejo professores que não sabem pronunciar as palavras direito por causa desse ensino devassado, chega de mentiras!"
2022-08-01 12:14:36+00:00,1554078138652663808,@LulaOficial Brasilzuela,Lula, brasilzuela
2022-08-01 12:14:36+00:00,1554078137809600514,Fora Lula ladrão https://t.co/N2y7bT28cy,Lula,fora lula ladrão 
2022-08-01 12:14:35+00:00,1554078136094031873,@cirogomes @CartunistaT Melhor cabo eleitoral do Lula! Parabéns e obrigado! 🤣🤣,Lula,  melhor cabo eleitoral do lula! parabéns e obrigado! 🤣🤣
2022-08-01 12:14:35+00:00,1554078133728468994,"@LulaOficial Essa sim , e uma pesquisa seria ! https://t.co/IDWEEKzaRY",Lula," essa sim , e uma pesquisa seria ! "
2022-08-01 12:14:34+00:00,1554078131757137920,"FALTAM 62 DIAS PARA TIRARMOS O BOSTANARO MENTIROSO &amp; CORRUPTO DA PRESIDÊNCIA! O BRASIL NÃO MERECE TER UM VAGABUNDO DESSE COMO PRESIDENTE! O BRASIL É DO POVO E O POVO É LULA, O MAIOR E MELHOR PRESIDENTE DO BRASIL!
EU SOU LULA 13
LULA JÁ!🤩
LULA PRESIDENTE👇
#LulaNoPrimeiroTurno https://t.co/SQKBZg2875",Lula,"faltam 62 dias para tirarmos o bostanaro mentiroso &amp; corrupto da presidência! o brasil não merece ter um vagabundo desse como presidente! o brasil é do povo e o povo é lula, o maior e melhor presidente do brasil!eu sou lula 13lula já!🤩lula presidente👇 "
